date,available_spots
10/23/2017,107
10/23/2017,84
10/23/2017,76
10/23/2017,75
10/24/2017,77
10/24/2017,75
10/24/2017,81
10/24/2017,92
10/24/2017,93
10/24/2017,118
10/24/2017,133
10/24/2017,142
10/24/2017,147
10/24/2017,154
10/24/2017,156
10/24/2017,156
10/24/2017,156
10/24/2017,156
10/24/2017,155
10/24/2017,154
10/24/2017,154
10/24/2017,154
10/24/2017,150
10/24/2017,116
10/24/2017,83
10/24/2017,57
10/24/2017,37
10/24/2017,27
10/25/2017,25
10/25/2017,26
10/25/2017,32
10/25/2017,47
10/25/2017,129
10/25/2017,105
10/25/2017,37
10/25/2017,44
10/25/2017,90
10/25/2017,156
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,161
10/25/2017,147
10/25/2017,127
10/25/2017,115
10/25/2017,108
10/25/2017,102
10/26/2017,106
10/26/2017,104
10/26/2017,103
10/26/2017,103
10/26/2017,138
10/26/2017,142
10/26/2017,141
10/26/2017,143
10/26/2017,148
10/26/2017,150
10/26/2017,150
10/26/2017,155
10/26/2017,158
10/26/2017,161
10/26/2017,161
10/26/2017,161
10/26/2017,161
10/26/2017,161
10/26/2017,158
10/26/2017,130
10/26/2017,83
10/26/2017,42
10/26/2017,32
10/26/2017,24
10/27/2017,27
10/27/2017,42
10/27/2017,49
10/27/2017,59
10/27/2017,90
10/27/2017,138
10/27/2017,152
10/27/2017,159
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,161
10/27/2017,158
10/27/2017,139
10/27/2017,94
10/27/2017,67
10/27/2017,62
10/27/2017,63
10/28/2017,63
10/28/2017,65
10/28/2017,70
10/28/2017,83
10/28/2017,103
10/28/2017,143
10/28/2017,155
10/28/2017,159
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,161
10/28/2017,132
10/28/2017,90
10/28/2017,69
10/28/2017,59
10/28/2017,59
10/29/2017,66
10/29/2017,68
10/29/2017,80
10/29/2017,90
10/29/2017,122
10/29/2017,145
10/29/2017,159
10/29/2017,161
10/29/2017,161
10/29/2017,161
